blockgroup_id,total_pop,white_pop,black_pop,hispanic_pop,median_household_income,poverty_rate,total_arrests,unique_individuals,discretionary_arrests,discretionary_per_1000,total_per_1000,unique_per_1000,cumulative_pop,cumulative_pop_pct,policing_category
450190058002,1421,835,446,90,105339.0,,463,126,198,139.33849401829698,325.8268824771288,88.66995073891626,55603,13.43905138951327,Highly Policed
450190027011,1011,409,465,0,60893.0,,372,109,139,137.48763600395648,367.9525222551929,107.81404549950544,56614,13.683406567377737,Highly Policed
450190027021,1427,836,591,18,37620.0,,575,207,184,128.94183601962158,402.94323756131746,145.05956552207428,58041,14.028307495975753,Highly Policed
450150208061,2042,1022,708,213,70440.0,,691,180,262,128.30558276199804,338.39373163565136,88.1488736532811,60083,14.521851782028413,Highly Policed
450190015001,826,449,377,0,82500.0,,229,72,105,127.11864406779661,277.2397094430993,87.16707021791767,60909,14.721493104398393,Highly Policed
450190026041,922,652,124,96,77446.0,,186,53,117,126.89804772234272,201.7353579175705,57.48373101952278,61831,14.944337292322269,Highly Policed
450190026121,1356,699,537,98,51071.0,,440,114,172,126.84365781710916,324.48377581120945,84.070796460177,63187,15.272077768271048,Highly Policed
450150205041,1903,648,1227,0,68389.0,,571,140,239,125.59117183394642,300.0525486074619,73.56805044666316,65090,15.732026238573798,Highly Policed
450190011003,1387,361,947,38,36800.0,,456,155,174,125.45061283345349,328.7671232876712,111.7519826964672,66477,16.067259306524356,Highly Policed
450190037003,652,230,385,0,14890.0,,185,69,81,124.23312883435584,283.74233128834356,105.8282208588957,67129,16.2248454350779,Highly Policed
450190038002,1273,127,998,251,,,569,170,158,124.11626080125687,446.9756480754124,133.5428122545169,68402,16.532525100183207,Highly Policed
450150207162,2246,1181,787,0,103846.0,,579,165,274,121.9946571682992,257.7916295636687,73.46393588601958,70648,17.075375475537896,Highly Policed
450150208111,1500,896,332,135,68250.0,,538,191,179,119.33333333333333,358.6666666666667,127.33333333333333,72148,17.437920249817516,Highly Policed
450150207211,2497,1622,524,102,131184.0,,494,97,296,118.54225070084101,197.83740488586304,38.84661593912695,74645,18.041436450735,Highly Policed
450190040002,1074,69,975,0,36932.0,,366,110,126,117.31843575418995,340.7821229050279,102.42085661080075,75719,18.30101850911921,Highly Policed
450190020041,432,432,0,0,75188.0,,68,32,49,113.42592592592592,157.40740740740742,74.07407407407408,76151,18.40543140411174,Highly Policed
450150202012,2218,1503,683,486,20357.0,,604,154,248,111.81244364292155,272.3174030658251,69.43192064923355,78369,18.941514277013212,Highly Policed
450190010001,1250,989,214,98,63571.0,,268,98,138,110.39999999999999,214.4,78.39999999999999,79619,19.24363492224623,Highly Policed
450150207152,1218,782,392,98,73010.0,,319,91,132,108.37438423645321,261.9047619047619,74.71264367816093,80837,19.538021278961285,Highly Policed
450190019012,819,777,4,0,103925.0,,103,18,88,107.44810744810745,125.76312576312576,21.978021978021978,81656,19.735970725717962,Highly Policed
450190053001,2263,1264,974,39,80283.0,,665,209,242,106.93769332744145,293.8577110030932,92.35528060097216,83919,20.28292994184782,Highly Policed
450190020062,1509,646,844,0,95352.0,,485,117,161,106.69317428760769,321.40490390987406,77.53479125248509,85428,20.64764998477312,Highly Policed
450190019022,647,309,279,59,54597.0,,163,58,68,105.10046367851623,251.93199381761977,89.64451313755796,86075,20.80402763074573,Highly Policed
450150207102,2148,1204,333,54,86983.0,,461,120,223,103.81750465549348,214.61824953445065,55.865921787709496,88223,21.32319174751415,Highly Policed
450190031041,3166,759,1290,987,41207.0,,798,236,327,103.2849020846494,252.05306380290588,74.54200884396715,91389,22.088402917760344,Highly Policed
450190037002,1886,117,1670,92,34313.0,,713,251,192,101.80275715800637,378.0487804878049,133.08589607635207,93275,22.544242547287922,Normally Policed
450150204012,2234,1439,746,3,49194.0,,508,118,227,101.61145926589079,227.39480752014325,52.820053715308866,95509,23.084192564448376,Normally Policed
450190036001,784,611,119,59,62563.0,,194,72,79,100.76530612244898,247.44897959183672,91.83673469387756,96293,23.273682633138527,Normally Policed
450150207163,1369,586,400,257,96472.0,,335,101,136,99.34258582907232,244.70416362308254,73.77647918188458,97662,23.604565163797727,Normally Policed
450190009001,697,422,272,3,66136.0,,242,88,66,94.69153515064563,347.20229555236733,126.25538020086083,98359,23.77302763557966,Normally Policed
450150204011,1645,679,881,13,33069.0,,410,109,154,93.61702127659574,249.2401215805471,66.2613981762918,100004,24.170618404706314,Normally Policed
450190031132,2108,369,1344,379,,,578,174,197,93.45351043643264,274.19354838709677,82.5426944971537,102112,24.68011466082728,Normally Policed
450190026111,1211,1017,168,34,78750.0,,219,83,113,93.31131296449216,180.84227910817506,68.5383980181668,103323,24.972809141929027,Normally Policed
450150207171,2872,1528,1105,183,58367.0,,564,168,265,92.27019498607241,196.37883008356548,58.4958217270195,106195,25.666961536416416,Normally Policed
450150208042,403,216,173,54,105403.0,,86,37,37,91.81141439205956,213.39950372208435,91.81141439205956,106598,25.76436523243954,Normally Policed
450190031081,2991,524,1997,224,55433.0,,904,263,270,90.27081243731195,302.2400534938148,87.93045804078903,109589,26.48727951235311,Normally Policed
450150201021,1161,545,526,1,67361.0,,318,88,102,87.85529715762273,273.90180878552974,75.79672695951766,110750,26.767889167645535,Normally Policed
450150205063,2495,1772,552,107,77153.0,,598,168,217,86.9739478957916,239.67935871743487,67.33466933867734,113245,27.370921975530642,Normally Policed
450150208093,2523,1283,533,472,67273.0,,634,160,218,86.40507332540625,251.28814902893382,63.41656757827982,115768,27.98072228586897,Normally Policed
450190044001,1368,347,1018,0,61818.0,,497,121,118,86.25730994152046,363.30409356725147,88.45029239766082,117136,28.31136312001199,Normally Policed
450190011002,517,360,145,6,94659.0,,162,65,44,85.1063829787234,313.34622823984523,125.72533849129594,117653,28.43632021888037,Normally Policed
450150203011,1940,1022,715,0,35688.0,,477,84,163,84.02061855670104,245.8762886597938,43.298969072164944,119593,28.90521146028201,Normally Policed
450150208091,702,371,185,143,84667.0,,151,43,58,82.62108262108262,215.0997150997151,61.25356125356125,120295,29.074882414644875,Normally Policed
450150210002,1036,775,133,91,68393.0,,260,92,85,82.04633204633205,250.96525096525096,88.80308880308881,121331,29.325280005414,Normally Policed
450190031051,1769,400,850,425,42269.0,,495,156,145,81.96721311475409,279.8191068400226,88.18541548897682,123100,29.75284114254777,Normally Policed
450150207172,1718,832,626,89,45762.0,,461,130,140,81.49010477299184,268.3352735739232,75.66938300349244,124818,30.168075757356032,Normally Policed
450190034004,2492,1032,994,570,49327.0,,695,264,202,81.05939004815409,278.892455858748,105.93900481540932,127310,30.77038347569258,Normally Policed
450150205062,1416,976,367,12,50679.0,,415,145,114,80.50847457627118,293.07909604519773,102.40112994350282,128726,31.112625742612547,Normally Policed
450150207183,1820,1107,344,375,31010.0,,326,112,142,78.02197802197803,179.12087912087912,61.53846153846154,130546,31.552513402071824,Normally Policed
450190031153,2910,1046,1455,10,50880.0,,571,201,227,78.00687285223368,196.21993127147766,69.07216494845362,133456,32.25585026417429,Normally Policed
