blockgroup_id,total_arrests,discretionary_arrests,unique_individuals,estimated_pop,discretionary_per_1000,total_per_1000,cumulative_pop,cumulative_pop_pct,kmeans_cluster,policing_category
450750116004,2,2,1,50,40.0,40.0,181650,7.0846333853354135,1,Highly Policed
450750117002,4,2,1,50,40.0,80.0,181700,7.086583463338533,1,Highly Policed
450350103001,27,12,6,300,40.0,90.0,182000,7.098283931357255,1,Highly Policed
450790107033,4,2,1,50,40.0,80.0,182050,7.100234009360375,1,Highly Policed
450790026031,5,2,1,50,40.0,100.0,182100,7.1021840873634945,1,Highly Policed
450439205032,5,4,2,100,40.0,50.0,182200,7.106084243369734,1,Highly Policed
450790107021,2,2,1,50,40.0,40.0,182250,7.108034321372855,1,Highly Policed
450750117004,7,6,3,150,40.0,46.66666666666667,182400,7.1138845553822145,1,Highly Policed
450510513021,3,2,1,50,40.0,60.0,182450,7.115834633385336,1,Highly Policed
450750119002,4,2,1,50,40.0,80.0,182500,7.117784711388456,1,Highly Policed
450790106002,2,2,1,50,40.0,40.0,182550,7.1197347893915754,1,Highly Policed
450510401022,7,6,3,150,40.0,46.66666666666667,182700,7.125585023400936,1,Highly Policed
450510405003,2,2,1,50,40.0,40.0,182750,7.127535101404056,1,Highly Policed
450790004002,4,2,1,50,40.0,80.0,182800,7.129485179407176,1,Highly Policed
450450007001,2,2,1,50,40.0,40.0,182850,7.131435257410297,1,Highly Policed
450790007001,4,4,2,100,40.0,40.0,182950,7.135335413416537,1,Highly Policed
450830214031,2,2,1,50,40.0,40.0,183000,7.137285491419656,1,Highly Policed
450790011001,5,2,1,50,40.0,100.0,183050,7.139235569422777,1,Highly Policed
450770112041,2,2,1,50,40.0,40.0,183100,7.141185647425898,1,Highly Policed
450450028053,3,2,1,50,40.0,60.0,183150,7.143135725429017,1,Highly Policed
450450039041,2,2,1,50,40.0,40.0,183200,7.145085803432137,1,Highly Policed
450510516042,2,2,1,50,40.0,40.0,183250,7.147035881435257,1,Highly Policed
450539502011,6,2,1,50,40.0,120.0,183300,7.148985959438378,1,Highly Policed
