DefendantId,drug_count,drug_type,policing_category
02ae10cdce0fbc11fd1a0c58,1,Distribution,Normally Policed
02b0dbb76a37acfa6dd88e11,2,Distribution,Ultra-Policed
02b1e02aded0b58bb63204e2,1,Possession,Normally Policed
02b2b429d1034193aeb90d84,1,Possession,Normally Policed
02b5a4d9ffdaea48ad25d763,2,Distribution,Normally Policed
02b87dbdb3890a8c73bf615d,2,Distribution,Highly Policed
02bafb528ef5d48962cb8a3c,1,Distribution,Normally Policed
02bce7a69721ddb3ea70a1dd,1,Distribution,Normally Policed
02bf12109cd83c430969ca23,2,Possession,Normally Policed
02c3b6042f68bf809ceaff5a,4,Distribution,Normally Policed
02c78f7e118348cf437da8d9,3,Possession,Normally Policed
02c8cb26821a02a6bd8c5718,1,Possession,Normally Policed
02c98a96215a59bf46a794fc,1,Distribution,Normally Policed
02cd6776e2b6d0fac8f0f37d,8,Distribution,Highly Policed
02cf9450609195873dfe22da,2,Possession,Normally Policed
02d39f8638445ed8eb4bac52,1,Distribution,Normally Policed
02d600e66444b424d3a625f7,6,Distribution,Highly Policed
02d694aec3770131fad5d2df,5,Distribution,Normally Policed
02d7c0a8d0ced9baa2f3f3d3,2,Possession,Normally Policed
02d8a9388394021a51384fbe,1,Possession,Ultra-Policed
02ddb10742fc752b4b0aa3c1,1,Possession,Highly Policed
02df25e253eb3d2a1e6e4765,1,Possession,Highly Policed
02e27986844f04558e360ac7,4,Distribution,Normally Policed
02e2d31e703b6bfd18cbd920,2,Distribution,Normally Policed
02e31eb2a00fa1bf8eba9612,1,Possession,Ultra-Policed
02e382f23673e5a8f5c19ad7,1,Possession,Normally Policed
02e6309d3a9a7e61229aab0a,2,Distribution,Normally Policed
02e68239f7d90dafdb8ad794,1,Possession,Normally Policed
02e8dd56336a041121d990ee,1,Distribution,Normally Policed
02e95cb1a744c57af4e666b2,1,Possession,Ultra-Policed
02ebc465a79215cd42f82e5a,3,Possession,Normally Policed
02ec2678775572e82ce70a46,1,Possession,Normally Policed
02ec97ee9b70f12e8ef93fd9,3,Distribution,Normally Policed
02ecb3e4e459dbb71b0a6320,1,Possession,Normally Policed
02ecc516a4239e4e4f9b8924,28,Distribution,Highly Policed
02f31d68aff27584d3c39f5c,2,Possession,Normally Policed
02f3c4b06ce9e298eb1df08e,7,Possession,Normally Policed
02f469bd81f450945ee3dd53,2,Possession,Normally Policed
0300374477c73fd736ead698,3,Distribution,Normally Policed
030bdf25abe3dec1f16c9de8,1,Possession,Normally Policed
03101a91c720184ec1b1f426,1,Distribution,Normally Policed
0317d48e0fe6fe671b5a7715,12,Distribution,Normally Policed
0319dbfb6b8145d3ba452348,1,Distribution,Normally Policed
0320688a8527c558a944b874,1,Possession,Normally Policed
0321f80086c15c5aad2c669a,1,Possession,Normally Policed
0326018d632b53b6b50ac690,2,Distribution,Normally Policed
03290403ef60b2af48bd86b3,1,Possession,Normally Policed
03298c7c98a34343d4ac3dc3,3,Distribution,Normally Policed
032ab82c4de96f83c1b2605c,2,Distribution,Normally Policed
033017a283ba662fdb50f40f,1,Distribution,Normally Policed
0331842fd328e6ee8e809573,2,Distribution,Normally Policed
033b23079abe60093b928c17,1,Possession,Normally Policed
033c4ef6958eda82601ade50,1,Distribution,Normally Policed
033e9252222030e592f99d43,2,Distribution,Highly Policed
0347249860d9cebf5451ac7a,2,Distribution,Normally Policed
03472a9ad96f930ab3d48a81,1,Possession,Normally Policed
03496247a8efcf7f06ad3674,2,Possession,Normally Policed
